Team 1,Score,Team 2,Score,Date,Video ID
Chicago Bulls,100,San Antonio Spurs,119,12/25/16, d2FM9gLfSDg
Golden State Warriors,108,Cleveland Cavaliers,109,12/25/16, pLqQb1i58oE
Houston Rockets,109,Memphis Grizzlies,115,12/23/16, ugcNF0zBSV8
Oklahoma City Thunder,117,Boston Celtics,112,12/23/16, 5CpWdWjEU54
Brooklyn Nets,99,Cleveland Cavaliers,119,12/23/16, wiblZuDl2iE
Golden State Warriors,119,Detroit Pistons,113,12/23/16, OrYDsh2orrk
San Antonio Spurs,101,Los Angeles Clippers,106,12/22/16, B11b9HoxTu0
Los Angeles Lakers,107,Miami Heat,115,12/22/16, IZuZSXoKsBY
Golden State Warriors,117,Brooklyn Nets,101,12/22/16, FxUhAooWLbQ
Boston Celtics,109,Indiana Pacers,102,12/22/16, zw8AINl6e60
Houston Rockets,125,Phoenix Suns,111,12/21/16, k9Gv1DBBAOM
Washington Wizards,107,Chicago Bulls,97,12/21/16, EWNcA-a4qqA
Milwaukee Bucks,102,Cleveland Cavaliers,113,12/21/16, I0ki40UNOSs
Brooklyn Nets,104,Toronto Raptors,116,12/20/16, k-y_LSXqZJk
Portland Trail Blazers,121,Sacramento Kings,126,12/20/16, HmVGIeBvUew
Utah Jazz,74,Golden State Warriors,104,12/20/16, 84IIDHI2JKQ
Cleveland Cavaliers,114,Milwaukee Bucks,108,12/20/16, 0QA6d5hlFVg
San Antonio Spurs,102,Houston Rockets,100,12/20/16, A-Xr71k1szQ
Atlanta Hawks,110,Oklahoma City Thunder,108,12/19/16, 3yrXuPy39ck
Detroit Pistons,82,Chicago Bulls,113,12/19/16, wzo8FTbzlIs
New Orleans Pelicans,100,San Antonio Spurs,113,12/18/16, iK6U9yhzr58
Boston Celtics,105,Miami Heat,95,12/18/16, t3W3wupwV1g
Houston Rockets,111,Minnesota Timberwolves,109,12/17/16, HzcHLjmt1EE
Los Angeles Lakers,108,Cleveland Cavaliers,119,12/17/16, LvvivdGwSco
New York Knicks,90,Golden State Warriors,103,12/15/16, skzAkyj_xtU
San Antonio Spurs,107,Phoenix Suns,92,12/15/16, A3B9GXZ0Fi0
Boston Celtics,101,San Antonio Spurs,108,12/14/16, vcTEb2pWSzo
Cleveland Cavaliers,85,Memphis Grizzlies,93,12/14/16, vIRIT_bUkOE
Los Angeles Lakers,97,Brooklyn Nets,107,12/14/16, 5j8VFZDhqLM
Oklahoma City Thunder,95,Portland Trail Blazers,114,12/13/16, UtTE5vYaoVc
Minnesota Timberwolves,99,Chicago Bulls,94,12/13/16, fjgwrW-GXbA
Golden State Warriors,113,New Orleans Pelicans,109,12/13/16, eIXYEJE10ao
Memphis Grizzlies,86,Cleveland Cavaliers,103,12/13/16, PBqt47AVdqU
Los Angeles Lakers,92,Sacramento Kings,116,12/12/16, nEbrbWwsbRs
Brooklyn Nets,118,Houston Rockets,122,12/12/16, UAGBmsFjbQY
Washington Wizards,101,Miami Heat,112,12/12/16, pdKi_ExG_KY
New York Knicks,118,Los Angeles Lakers,112,12/11/16, 5RVT4cZ7wuM
Golden State Warriors,116,Minnesota Timberwolves,108,12/11/16, XC4TI8g6WKE
Boston Celtics,96,Oklahoma City Thunder,99,12/11/16, hjEQQntLdP0
Golden State Warriors,89,Memphis Grizzlies,110,12/10/16, zRJSCGA_-RM
Charlotte Hornets,105,Cleveland Cavaliers,116,12/10/16, cvN9bTwi3yc
Phoenix Suns,119,Los Angeles Lakers,115,12/9/16, yZCcUaMz8zY
Houston Rockets,102,Oklahoma City Thunder,99,12/9/16, 7RKfyY9Y-Nk
Miami Heat,84,Cleveland Cavaliers,114,12/9/16, cAd_sjoatsQ
Philadelphia 76ers,99,New Orleans Pelicans,88,12/8/16, u0_SiI1aGKQ
San Antonio Spurs,91,Chicago Bulls,95,12/8/16, qopxYgkgMGc
Golden State Warriors,106,Utah Jazz,99,12/8/16, BLh7wbw7lfw
Minnesota Timberwolves,110,Toronto Raptors,124,12/8/16, 6ztEwWoD7Gg
Golden State Warriors,115,Los Angeles Clippers,98,12/7/16, JKZPNo48bLE
Cleveland Cavaliers,126,New York Knicks,94,12/7/16, 1rdvtVBZjpY
Los Angeles Lakers,95,Houston Rockets,134,12/7/16, ltQnUZu7b7k
New York Knicks,114,Miami Heat,103,12/6/16, PEcTpvqVKc0
San Antonio Spurs,105,Minnesota Timberwolves,91,12/6/16, Ka49UQH8gdQ
Indiana Pacers,106,Golden State Warriors,142,12/5/16, 0Sf-s2z_iw4
Cleveland Cavaliers,116,Toronto Raptors,112,12/5/16, uJMaU5TbZWU
Boston Celtics,106,Houston Rockets,107,12/5/16, 3vaT68Q_whk
Indiana Pacers,111,Los Angeles Clippers,102,12/4/16,p_sz0TxmRao
Sacramento Kings,98,New York Knicks,106,12/4/16,d2FmQjfN-HA
New Orleans Pelicans,108,Oklahoma City Thunder,101,12/4/16,zeYTbBXc4Fg
Phoenix Suns,109,Golden State Warriors,138,12/3/16,5v9rpnWVBbc
Los Angeles Lakers,100,Memphis Grizzlies,103,12/3/16,3JDckqeHuHM
Boston Celtics,107,Philadelphia 76ers,106,12/3/16,T1f4xwroLd0
Washington Wizards,105,San Antonio Spurs,107,12/2/16,gzxcHoVUHPY
Memphis Grizzlies,105,Toronto Raptors,120,11/30/16, Y6bJhcLK1Ag
Detroit Pistons,121,Boston Celtics,114,11/30/16, 8k4qxnm0DIs
Los Angeles Clippers,122,Brooklyn Nets,127,11/29/16,dbch9g8uoBA
Atlanta Hawks,100,Golden State Warriors,105,11/28/16, z4b_8mB6tjA
Philadelphia 76ers,95,Toronto Raptors,122,11/28/16, SBrdGhvkBXY
Boston Celtics,112,Miami Heat,104,11/28/16, lO-8JLBkIGM
Atlanta Hawks,94,Los Angeles Lakers,109,11/27/16, YDgV4kU8VGo
Houston Rockets,130,Portland Trail Blazers,114,11/27/16, RwTkey9d_U0
Milwaukee Bucks,104,Orlando Magic,96,11/27/16, QT8p6LpTEhc
Minnesota Timberwolves,102,Golden State Warriors,115,11/26/16, mxp8QYxMjq4
Detroit Pistons,88,Oklahoma City Thunder,106,11/26/16, ET_ElwnLKec
New York Knicks,102,Charlotte Hornets,107,11/26/16, rhNPy_YVF5E
San Antonio Spurs,112,Washington Wizards,100,11/26/16, _RkY862mvZg
San Antonio Spurs,109,Boston Celtics,103,11/25/16, vI_WBjrr8kw
Los Angeles Lakers,106,Golden State Warriors,149,11/23/16,Mi3lZ3AArPY
Toronto Raptors,115,Houston Rockets,102,11/23/16,UQ6xvxy_aBU
Boston Celtics,111,Brooklyn Nets,92,11/23/16,7EtCV1vxBmQ
Portland Trail Blazers,125,Cleveland Cavaliers,137,11/23/16,pYn4ugyoaeU
Boston Celtics,99,Minnesota Timberwolves,93,11/21/16, JzZ5EhUvhsk
Houston Rockets,99,Detroit Pistons,96,11/21/16, 33P9xYweBro
Golden State Warriors,120,Indiana Pacers,83,11/21/16, OwtrqtLw4EE
Chicago Bulls,118,Los Angeles Lakers,110,11/20/16, 0lcPPKDXo-M
Indiana Pacers,115,Oklahoma City Thunder,111,11/20/16, agKS3iH0PGU
Golden State Warriors,124,Milwaukee Bucks,121,11/19/16, e5LL5lwIwhA
Boston Celtics,94,Detroit Pistons,92,11/19/16, 46cjktgpPew
San Antonio Spurs,116,Los Angeles Lakers,107,11/18/16, jilFle0ibQE
Golden State Warriors,104,Boston Celtics,88,11/18/16, 4uVYl1GrXL4
Detroit Pistons,81,Cleveland Cavaliers,104,11/18/16, 7hlI3YyvnNw
Chicago Bulls,85,Utah Jazz,77,11/17/16, ujqX6nE69sg
Portland Trail Blazers,109,Houston Rockets,126,11/17/16, x-wb4LpIZKE
Milwaukee Bucks,73,Miami Heat,96,11/17/16, 7zh3o3QKVLQ
Dallas Mavericks,83,Boston Celtics,90,11/16/16, IIVrZGnW76w
Houston Rockets,103,Oklahoma City Thunder,105,11/16/16, 5tMRHg1te-Q
Golden State Warriors,127,Toronto Raptors,121,11/16/16, AYbhlGF2Xcg
Cleveland Cavaliers,93,Indiana Pacers,103,11/16/16, xHTHkLcZMoE
Brooklyn Nets,118,Los Angeles Lakers,125,11/15/16, 89_zzpD-OlU
Chicago Bulls,113,Portland Trail Blazers,88,11/15/16, lruiE83ZqmA
Charlotte Hornets,115,Minnesota Timberwolves,108,11/15/16, IWVVmit8d1w
Atlanta Hawks,93,Miami Heat,90,11/15/16, J9yz2UETuTw
Toronto Raptors,117,Cleveland Cavaliers,121,11/15/16, daUzMnrdWhQ
Brooklyn Nets,95,Los Angeles Clippers,127,11/14/16, dh1w76HrgRI
Miami Heat,90,San Antonio Spurs,94,11/14/16, FG1RpcR1-a0
Boston Celtics,105,New Orleans Pelicans,106,11/14/16, UtGr3wOKb7c
Oklahoma City Thunder,88,Detroit Pistons,104,11/14/16, _fgHRZe0Huc
Phoenix Suns,120,Golden State Warriors,133,11/13/16, zhKHmQ1Sq7Q
Los Angeles Lakers,99,Minnesota Timberwolves,125,11/13/16, 1UOA_zL8qeU
Charlotte Hornets,93,Cleveland Cavaliers,100,11/13/16, WxJVJP0-Vl0
Memphis Grizzlies,96,Milwaukee Bucks,106,11/12/16, 5svSmUOoPHA
San Antonio Spurs,106,Houston Rockets,100,11/12/16, vMDsGBeHXJ4
Washington Wizards,95,Chicago Bulls,106,11/12/16, oRaeu2EhU38
Boston Celtics,105,Indiana Pacers,99,11/12/16, jCbjUFIgPfs
Detroit Pistons,86,San Antonio Spurs,96,11/11/16, -_HJvzYEflc
Cleveland Cavaliers,105,Washington Wizards,94,11/11/16, gWoCc79-aaQ
Los Angeles Lakers,101,Sacramento Kings,91,11/10/16, OgLFo49nyXw
Golden State Warriors,125,Denver Nuggets,101,11/10/16, FNNPdHhzA64
New Orleans Pelicans,112,Milwaukee Bucks,106,11/10/16, MoiDPRbyDME
Chicago Bulls,98,Miami Heat,95,11/10/16, aOxzhkjjB1Q
Dallas Mavericks,95,Golden State Warriors,116,11/9/16,LaQdT_hCpZo
Houston Rockets,101,San Antonio Spurs,99,11/9/16,zg7aAUadp0Y
Toronto Raptors,112,Oklahoma City Thunder,102,11/9/16,8Qwjb6ZVl8E
Chicago Bulls,107,Atlanta Hawks,115,11/9/16,nDK539R1Y2Q
Dallas Mavericks,109,Los Angeles Lakers,97,11/8/16, v2jJPfN007s
Phoenix Suns,121,Portland Trail Blazers,124,11/8/16, 0yOTPaT_r4g
Minnesota Timberwolves,110,Brooklyn Nets,119,11/8/16, QpAzD5iTsVg
Atlanta Hawks,110,Cleveland Cavaliers,106,11/8/16, evmcPgG9dzg
New Orleans Pelicans,106,Golden State Warriors,116,11/7/16, nyVJOz4bIvY
Orlando Magic,80,Chicago Bulls,112,11/7/16, C_7fgm89BXY
Miami Heat,85,Oklahoma City Thunder,97,11/7/16, Cif_Rx60j0w
Indiana Pacers,100,Charlotte Hornets,122,11/7/16, Kg_USJHAgPU
Phoenix Suns,108,Los Angeles Lakers,119,11/6/16, rviTVRqIxVY
Milwaukee Bucks,75,Dallas Mavericks,86,11/6/16, ydKAYHe2FZ8
Sacramento Kings,96,Toronto Raptors,91,11/6/16, qntvQfJssHg
Los Angeles Clippers,116,San Antonio Spurs,92,11/5/16, K5O4LMxdaNU
Cleveland Cavaliers,102,Philadelphia 76ers,101,11/5/16, GRCOItCbUQI
Golden State Warriors,97,Los Angeles Lakers,117,11/4/16, uc9_8k7WGqM
San Antonio Spurs,100,Utah Jazz,86,11/4/16, Z8TL73MJymg
New York Knicks,117,Chicago Bulls,104,11/4/16, gSc4LJsZ3VE
Toronto Raptors,96,Miami Heat,87,11/4/16, skKe784s0sk
Indiana Pacers,107,Milwaukee Bucks,125,11/3/16,gV2m1xgLzXQ
Boston Celtics,122,Cleveland Cavaliers,128,11/3/16,GW55Ej9vl2c
Oklahoma City Thunder,85,Los Angeles Clippers,83,11/2/16, RHy6N5MnuK0
Portland Trail Blazers,115,Phoenix Suns,118,11/2/16, 3B_0VYnrVeU
Chicago Bulls,100,Boston Celtics,107,11/2/16, 78gWD7_A4r4
Houston Rockets,118,New York Knicks,99,11/2/16, LfqqVoxHIkk
Golden State Warriors,127,Portland Trail Blazers,104,11/1/16, oprakdo83FE
Houston Rockets,120,Cleveland Cavaliers,128,11/1/16, -mZ9xHBZ9NA
Los Angeles Lakers,108,Indiana Pacers,115,11/1/16, n7DBJNUMp5c
Phoenix Suns,98,Los Angeles Clippers,116,10/31/16, ahB5SnDNxgg
Denver Nuggets,102,Toronto Raptors,105,10/31/16, 5LzUwcoljnE
Chicago Bulls,118,Brooklyn Nets,88,10/31/16, lt7S6-WRzdE
Dallas Mavericks,92,Houston Rockets,93,10/30/16, 51EW3bcqH1s
Los Angeles Lakers,96,Oklahoma City Thunder,113,10/30/16, m2RRQBR6wOs
Golden State Warriors,106,Phoenix Suns,100,10/30/16, blMchQA5xJ4
Minnesota Timberwolves,103,Sacramento Kings,106,10/29/16, jXOcVReBF3o
Brooklyn Nets,108,Milwaukee Bucks,110,10/29/16, uM9uAlbr7No
Indiana Pacers,101,Chicago Bulls,118,10/29/16, Y_FfKjDlOJo
Golden State Warriors,122,New Orleans Pelicans,114,10/28/16, S3GAN8j8eEU
Cleveland Cavaliers,94,Toronto Raptors,91,10/28/16, sKPmOZgGqso
Boston Celtics,99,Chicago Bulls,105,10/27/16, 8d_zOxpeI9Y
Minnesota Timberwolves,98,Memphis Grizzlies,102,10/26/16, JNtUTkYdeyI
Brooklyn Nets,117,Boston Celtics,122,10/26/16, JqWJGXxnoQ0
Utah Jazz,104,Portland Trail Blazers,113,10/25/16,aJoTCgs2RQ8
San Antonio Spurs,129,Golden State Warriors,100,10/25/16,j6OxmCbPr3E
New York Knicks,88,Cleveland Cavaliers,117,10/25/16,yYMnDFLhSsY
