homeTeam,homeTeamScore,awayTeam,awayTeamScore,videoID,datePlayed,thumbnail
Washington_Wizards,119,Los_Angeles_Lakers,108, d_nLRhMnpaQ,3/28/17,
Denver_Nuggets,113,Portland_Trail_Blazers,122, HvTxb5pqdhE,3/28/17,
Golden_State_Warriors,113,Houston_Rockets,106, kNOVlqx9QX0,3/28/17,
Miami_Heat,97,Detroit_Pistons,96, gyIB5biKmXw,3/28/17,
New_Orleans_Pelicans,100,Utah_Jazz,108, Iu-pKwHxeaI,3/27/17,
Orlando_Magic,112,Toronto_Raptors,131, 5bcjGAeHqMA,3/27/17,
Oklahoma_City_Thunder,92,Dallas_Mavericks,91, J_eGiGq-aGY,3/27/17,
Cleveland_Cavaliers,74,San_Antonio_Spurs,103, glZHTj2EvyI,3/27/17,
New_Orleans_Pelicans,115,Denver_Nuggets,90, piybXmYASMQ,3/26/17,
Portland_Trail_Blazers,97,Los_Angeles_Lakers,81, 8kFwGQLMkbw,3/26/17,
Memphis_Grizzlies,94,Golden_State_Warriors,106, -cyN4tyuy50,3/26/17,
Miami_Heat,108,Boston_Celtics,112, bUfOUubKQBs,3/26/17,
Sacramento_Kings,98,Los_Angeles_Clippers,97, 4THYfNclY-4,3/26/17,
Oklahoma_City_Thunder,125,Houston_Rockets,137, RGGqZy79oLY,3/26/17,
Chicago_Bulls,109,Milwaukee_Bucks,94, D7XEVdvya6c,3/26/17,
Minnesota_Timberwolves,100,Portland_Trail_Blazers,112, sshsPmVURxU,3/25/17,
Toronto_Raptors,94,Dallas_Mavericks,86, VfRKnnF-JJo,3/25/17,
New_York_Knicks,98,San_Antonio_Spurs,106, dJ8pXvUywK4,3/25/17,
Washington_Wizards,127,Cleveland_Cavaliers,115, xEV_6G95u4o,3/25/17,
Utah_Jazz,95,Los_Angeles_Clippers,108, fkoeOnItCLc,3/25/17,
Sacramento_Kings,100,Golden_State_Warriors,114, BFx0zCw5eG8,3/24/17,
Phoenix_Suns,120,Boston_Celtics,130, cQh_f3Q0-OA,3/24/17,
New_Orleans_Pelicans,107,Houston_Rockets,117, kyHz62QrPLs,3/24/17,
Cleveland_Cavaliers,112,Charlotte_Hornets,105, 1Zh6ic-1J9g,3/24/17,
New_York_Knicks,95,Portland_Trail_Blazers,110, lf7KJaEbZmA,3/23/17,
Los_Angeles_Clippers,95,Dallas_Mavericks,97, mfODccx-Syk,3/23/17,
Memphis_Grizzlies,90,San_Antonio_Spurs,97, XJ7-z6sf-Sg,3/23/17,
Phoenix_Suns,98,Brooklyn_Nets,126, ulHZcmv-E40,3/23/17,
Toronto_Raptors,101,Miami_Heat,84, MNO7Dh4d7gU,3/23/17,
New_York_Knicks,101,Utah_Jazz,108, PY5W4tG4Q_4,3/22/17,
Detroit_Pistons,95,Chicago_Bulls,117, ND2uYGXQyy8,3/22/17,
Cleveland_Cavaliers,113,Denver_Nuggets,126, dImG4ALRsm8,3/22/17,
Philadelphia_76ers,97,Oklahoma_City_Thunder,122, YCR4z8NX5hM,3/22/17,
Indiana_Pacers,100,Boston_Celtics,109, 911-BB9Lha8,3/22/17,
Memphis_Grizzlies,82,New_Orleans_Pelicans,95, CpSjSljRzz0,3/21/17,
Los_Angeles_Clippers,133,Los_Angeles_Lakers,109, 3ZqFcdnd9ds,3/21/17,
San_Antonio_Spurs,100,Minnesota_Timberwolves,93, JuBLGohIA0k,3/21/17,
Golden_State_Warriors,112,Dallas_Mavericks,87, GKlWgjBNz0c,3/21/17,
New_York_Knicks,105,Los_Angeles_Clippers,114, ifEf-0y8dSA,3/20/17,
Denver_Nuggets,124,Houston_Rockets,125, v0hxJ2zLMBE,3/20/17,
Golden_State_Warriors,111,Oklahoma_City_Thunder,95, R7XBYNXB-p4,3/20/17,
Washington_Wizards,102,Boston_Celtics,110, LSDmWnWCgOc,3/20/17,
Cleveland_Cavaliers,125,Los_Angeles_Lakers,120, dNLiq1v4tk0,3/19/17,
Indiana_Pacers,91,Toronto_Raptors,116, zlqJ9VQ10bM,3/19/17,
Sacramento_Kings,102,San_Antonio_Spurs,118, aDcrOABiYyw,3/19/17,
Portland_Trail_Blazers,115,Miami_Heat,104, KSx4HszED-c,3/19/17,
Boston_Celtics,99,Philadelphia_76ers,105, N5QCx2LH4Rs,3/19/17,
Dallas_Mavericks,111,Brooklyn_Nets,104, qZ_YPum7i4o,3/19/17,
Milwaukee_Bucks,92,Golden_State_Warriors,117, X5j1MIyiwQE,3/18/17,
Houston_Rockets,109,Denver_Nuggets,105, HFq2ivQJGk8,3/18/17,
San_Antonio_Spurs,96,Memphis_Grizzlies,104, j41IPfnh8CM,3/18/17,
Cleveland_Cavaliers,78,Los_Angeles_Clippers,108, NFhA55goy3w,3/18/17,
Washington_Wizards,93,Charlotte_Hornets,98, VbRyAAjOs4A,3/18/17,
Portland_Trail_Blazers,113,Atlanta_Hawks,97, 9VJw0gdV6as,3/18/17,
Sacramento_Kings,94,Oklahoma_City_Thunder,110, Z5W9UW1ft04,3/18/17,
Milwaukee_Bucks,107,Los_Angeles_Lakers,103, wSA4lgiw0FQ,3/17/17,
Minnesota_Timberwolves,105,Miami_Heat,123, NtyruVH3Xyg,3/17/17,
Houston_Rockets,112,New_Orleans_Pelicans,128, foBkoZY31H0,3/17/17,
Boston_Celtics,98,Brooklyn_Nets,95, I9KFXts-IIA,3/17/17,
Chicago_Bulls,107,Washington_Wizards,112, uZ5WGAZukN8,3/17/17,
Orlando_Magic,92,Golden_State_Warriors,122, f7rNBUfgqOk,3/16/17,
Brooklyn_Nets,121,New_York_Knicks,110, iClhaLjQz_U,3/16/17,
Oklahoma_City_Thunder,123,Toronto_Raptors,102, m1omtjvncWU,3/16/17,
Utah_Jazz,83,Cleveland_Cavaliers,91, KAGZeMOgf_c,3/16/17,
New_Orleans_Pelicans,112,Miami_Heat,120, _lUZPh7mcPc,3/15/17,
Milwaukee_Bucks,97,Los_Angeles_Clippers,96, PyEZq4_iBLw,3/15/17,
Portland_Trail_Blazers,110,San_Antonio_Spurs,106, 7KxIP_NI5Rw,3/15/17,
Los_Angeles_Lakers,100,Houston_Rockets,139, g32RdaeOi3w,3/15/17,
Minnesota_Timberwolves,104,Boston_Celtics,117, emTV1lkuphQ,3/15/17,
Dallas_Mavericks,112,Washington_Wizards,107, V9zOyIWbgnk,3/15/17,
Philadelphia_76ers,104,Golden_State_Warriors,106, xwFYVm3SeIY,3/14/17,
Portland_Trail_Blazers,77,New_Orleans_Pelicans,100, Xtyr9JjD-XQ,3/14/17,
Oklahoma_City_Thunder,122,Brooklyn_Nets,104, u4E7KXfE7gQ,3/14/17,
Detroit_Pistons,96,Cleveland_Cavaliers,128, DVoyJbpL5Yw,3/14/17,
Los_Angeles_Lakers,101,Denver_Nuggets,129, Pp4RXCKePpI,3/13/17,
Los_Angeles_Clippers,108,Utah_Jazz,114, P7LAAY2GFIU,3/13/17,
Atlanta_Hawks,99,San_Antonio_Spurs,107, 72woXR_8_o4,3/13/17,
Chicago_Bulls,115,Charlotte_Hornets,109, 4d7odOJdQhA,3/13/17,
Philadelphia_76ers,118,Los_Angeles_Lakers,116, Em_rlWjIu-s,3/12/17,
Cleveland_Cavaliers,112,Houston_Rockets,117, H6CmA6iZwGM,3/12/17,
Chicago_Bulls,80,Boston_Celtics,100, JvebN0phEdg,3/12/17,
Golden_State_Warriors,85,San_Antonio_Spurs,107, RnLMMlFa9Hg,3/11/17,
Cleveland_Cavaliers,116,Orlando_Magic,104, W68UJe9jEXA,3/11/17,
Philadelphia_76ers,100,Los_Angeles_Clippers,112, q-D-WWI_J6A,3/11/17,
Utah_Jazz,104,Oklahoma_City_Thunder,112, 2NJnN0JzlbU,3/11/17,
Houston_Rockets,115,Chicago_Bulls,94, sk9s0OsEiLY,3/10/17,
Golden_State_Warriors,102,Minnesota_Timberwolves,103, 5feVPwSro3s,3/10/17,
San_Antonio_Spurs,92,Oklahoma_City_Thunder,102, bc9R7KTHnjk,3/9/17,
Cleveland_Cavaliers,101,Detroit_Pistons,106, 3c1b48bIwew,3/9/17,
