homeTeam,homeTeamScore,awayTeam,awayTeamScore,videoID,datePlayed
Bournemouth,3,West_Ham,2,GZ7YcYymbd0,2017-03-11
Manchester_City,0,Stoke_City,0,gI4XKNSwq1I,2017-03-09
Tottenham,3,Everton,2,qVxnYmIitzE,2017-03-05
Burnley,2,Swansea_City,3,01j08KmeIyw,2017-03-05
Leicester_City,3,Hull_City,1,70PWyDv93Bg,2017-03-05
Manchester_United,1,Bournemouth,1,ItZknodKDNY,2017-03-05
Southampton,4,Watford,3,445nXqPTlJA,2017-03-05
Liverpool,1,Leicester_City,3,rSLhHJF6GAQ,2017-02-28
Tottenham,4,Stoke_City,0,N0u95WGdIac,2017-02-26
Watford,1,West_Ham,1,xWt39r61EK4,2017-02-25
Everton,2,Sunderland,0,JX2Gu7I5HQg,2017-02-25
Burnley,1,Hull_City,1,AXtT0CqfaCA,2017-02-25
Chelsea,3,Swansea_City,1,4xLCJLTmp-c,2017-02-25
West_Brom,2,Bournemouth,1,_FgvmGbaiaA,2017-02-25
Manchester_City,2,Bournemouth,0,j-BYaUSUofY,2017-02-14
Leicester_City,0,Swansea_City,2,qVelU-wyhvQ,2017-02-12
Chelsea,1,Burnley,1,w-tMQiVbekI,2017-02-12
Tottenham,0,Liverpool,2,gIOwOT4CJxM,2017-02-11
Everton,0,Middlesbrough,0,ziY_yyWJOCw,2017-02-11
Manchester_United,2,Watford,0,7HUPB4oSJw0,2017-02-11
Arsenal,2,Hull_City,0,Y6lLN4JG0LI,2017-02-11
Stoke_City,1,Crystal_Palace,0,138MFFd_2BQ,2017-02-11
Southampton,2,Sunderland,0,OpUoRtgdasU,2017-02-11
West_Brom,2,West_Ham,2,x1AbhlEKaAQ,2017-02-11
Manchester_United,3,Leicester_City,0,Ai7NYLoHNhU,2017-02-05
Manchester_City,2,Swansea_City,1,0UK5CcPdUdA,2017-02-05
Tottenham,1,Middlesbrough,0,Q4nBRhX2Aqc,2017-02-04
Southampton,1,West_Ham,3,G86LiG2_SSo,2017-02-04
Liverpool,0,Hull_City,2,9y5Rh344x0A,2017-02-04
Chelsea,3,Arsenal,1,0Qo9ps8vthg,2017-02-04
Watford,2,Burnley,1,ady5ij0uVcU,2017-02-04
Everton,6,Bournemouth,3,CjDCjttVGuw,2017-02-04
Everton,1,Stoke_City,1,m_kJvGHNHTM,2017-02-02
Manchester_City,4,West_Ham,0,u9pCrdlPU0Q,2017-02-02
Manchester_United,0,Hull_City,0,laP07E97If4,2017-02-02
Southampton,1,Swansea_City,2,7xiYCIyctXs,2017-02-01
Chelsea,1,Liverpool,1,wXzNKMkaVJU,2017-02-01
West_Brom,1,Middlesbrough,1,t7rLZkbDjOU,2017-02-01
Bournemouth,0,Crystal_Palace,2,2blkHux_v0U,2017-02-01
Arsenal,1,Watford,2,bKkCkbWZuhY,2017-02-01
Tottenham,0,Sunderland,0,G7E-PEPBOBw,2017-02-01
Leicester_City,0,Burnley,1,i7egyQF4qhk,2017-02-01
Chelsea,1,Liverpool,1,QsW7CmteVAA,2017-01-25
Southampton,3,Leicester_City,0,0wKpv4sEeE0,2017-01-22
Arsenal,2,Burnley,1,V8FPdwuH8XI,2017-01-22
Chelsea,2,Hull_City,0,8Z83zbFS3Kk,2017-01-22
West_Ham,3,Middlesbrough,1,e3xGKzX42dw,2017-01-21
Liverpool,2,Swansea_City,3,eAgJqt8ltnU,2017-01-21
West_Brom,2,Sunderland,0,41eo49cVwM8,2017-01-21
Manchester_United,1,Stoke_City,1,CyvE-Rtmm1Q,2017-01-21
