Team 1,Score,Team 2,Score,Date,Video ID
Golden_State_Warriors,113,Houston_Rockets,106,3/28/17, kNOVlqx9QX0
Miami_Heat,97,Detroit_Pistons,96,3/28/17, gyIB5biKmXw
New_Orleans_Pelicans,100,Utah_Jazz,108,3/27/17, Iu-pKwHxeaI
Orlando_Magic,112,Toronto_Raptors,131,3/27/17, 5bcjGAeHqMA
Oklahoma_City_Thunder,92,Dallas_Mavericks,91,3/27/17, J_eGiGq-aGY
Cleveland_Cavaliers,74,San_Antonio_Spurs,103,3/27/17, glZHTj2EvyI
New_Orleans_Pelicans,115,Denver_Nuggets,90,3/26/17, piybXmYASMQ
Portland_Trail_Blazers,97,Los_Angeles_Lakers,81,3/26/17, 8kFwGQLMkbw
Memphis_Grizzlies,94,Golden_State_Warriors,106,3/26/17, -cyN4tyuy50
Miami_Heat,108,Boston_Celtics,112,3/26/17, bUfOUubKQBs
Sacramento_Kings,98,Los_Angeles_Clippers,97,3/26/17, 4THYfNclY-4
Oklahoma_City_Thunder,125,Houston_Rockets,137,3/26/17, RGGqZy79oLY
Chicago_Bulls,109,Milwaukee_Bucks,94,3/26/17, D7XEVdvya6c
Minnesota_Timberwolves,100,Portland_Trail_Blazers,112,3/25/17, sshsPmVURxU
Toronto_Raptors,94,Dallas_Mavericks,86,3/25/17, VfRKnnF-JJo
New_York_Knicks,98,San_Antonio_Spurs,106,3/25/17, dJ8pXvUywK4
Washington_Wizards,127,Cleveland_Cavaliers,115,3/25/17, xEV_6G95u4o
Utah_Jazz,95,Los_Angeles_Clippers,108,3/25/17, fkoeOnItCLc
Sacramento_Kings,100,Golden_State_Warriors,114,3/24/17, BFx0zCw5eG8
Phoenix_Suns,120,Boston_Celtics,130,3/24/17, cQh_f3Q0-OA
New_Orleans_Pelicans,107,Houston_Rockets,117,3/24/17, kyHz62QrPLs
Cleveland_Cavaliers,112,Charlotte_Hornets,105,3/24/17, 1Zh6ic-1J9g
New_York_Knicks,95,Portland_Trail_Blazers,110,3/23/17, lf7KJaEbZmA
Los_Angeles_Clippers,95,Dallas_Mavericks,97,3/23/17, mfODccx-Syk
Memphis_Grizzlies,90,San_Antonio_Spurs,97,3/23/17, XJ7-z6sf-Sg
Phoenix_Suns,98,Brooklyn_Nets,126,3/23/17, ulHZcmv-E40
Toronto_Raptors,101,Miami_Heat,84,3/23/17, MNO7Dh4d7gU
New_York_Knicks,101,Utah_Jazz,108,3/22/17, PY5W4tG4Q_4
Detroit_Pistons,95,Chicago_Bulls,117,3/22/17, ND2uYGXQyy8
Cleveland_Cavaliers,113,Denver_Nuggets,126,3/22/17, dImG4ALRsm8
Philadelphia_76ers,97,Oklahoma_City_Thunder,122,3/22/17, YCR4z8NX5hM
Indiana_Pacers,100,Boston_Celtics,109,3/22/17, 911-BB9Lha8
Memphis_Grizzlies,82,New_Orleans_Pelicans,95,3/21/17, CpSjSljRzz0
Los_Angeles_Clippers,133,Los_Angeles_Lakers,109,3/21/17, 3ZqFcdnd9ds
San_Antonio_Spurs,100,Minnesota_Timberwolves,93,3/21/17, JuBLGohIA0k
Golden_State_Warriors,112,Dallas_Mavericks,87,3/21/17, GKlWgjBNz0c
New_York_Knicks,105,Los_Angeles_Clippers,114,3/20/17, ifEf-0y8dSA
Denver_Nuggets,124,Houston_Rockets,125,3/20/17, v0hxJ2zLMBE
Golden_State_Warriors,111,Oklahoma_City_Thunder,95,3/20/17, R7XBYNXB-p4
Washington_Wizards,102,Boston_Celtics,110,3/20/17, LSDmWnWCgOc
Cleveland_Cavaliers,125,Los_Angeles_Lakers,120,3/19/17, dNLiq1v4tk0
Indiana_Pacers,91,Toronto_Raptors,116,3/19/17, zlqJ9VQ10bM
Sacramento_Kings,102,San_Antonio_Spurs,118,3/19/17, aDcrOABiYyw
Portland_Trail_Blazers,115,Miami_Heat,104,3/19/17, KSx4HszED-c
Boston_Celtics,99,Philadelphia_76ers,105,3/19/17, N5QCx2LH4Rs
Dallas_Mavericks,111,Brooklyn_Nets,104,3/19/17, qZ_YPum7i4o
Milwaukee_Bucks,92,Golden_State_Warriors,117,3/18/17, X5j1MIyiwQE
Houston_Rockets,109,Denver_Nuggets,105,3/18/17, HFq2ivQJGk8
San_Antonio_Spurs,96,Memphis_Grizzlies,104,3/18/17, j41IPfnh8CM
Cleveland_Cavaliers,78,Los_Angeles_Clippers,108,3/18/17, NFhA55goy3w
Washington_Wizards,93,Charlotte_Hornets,98,3/18/17, VbRyAAjOs4A
Portland_Trail_Blazers,113,Atlanta_Hawks,97,3/18/17, 9VJw0gdV6as
Sacramento_Kings,94,Oklahoma_City_Thunder,110,3/18/17, Z5W9UW1ft04
Milwaukee_Bucks,107,Los_Angeles_Lakers,103,3/17/17, wSA4lgiw0FQ
Minnesota_Timberwolves,105,Miami_Heat,123,3/17/17, NtyruVH3Xyg
Houston_Rockets,112,New_Orleans_Pelicans,128,3/17/17, foBkoZY31H0
Boston_Celtics,98,Brooklyn_Nets,95,3/17/17, I9KFXts-IIA
Chicago_Bulls,107,Washington_Wizards,112,3/17/17, uZ5WGAZukN8
Orlando_Magic,92,Golden_State_Warriors,122,3/16/17, f7rNBUfgqOk
Brooklyn_Nets,121,New_York_Knicks,110,3/16/17, iClhaLjQz_U
Oklahoma_City_Thunder,123,Toronto_Raptors,102,3/16/17, m1omtjvncWU
Utah_Jazz,83,Cleveland_Cavaliers,91,3/16/17, KAGZeMOgf_c
New_Orleans_Pelicans,112,Miami_Heat,120,3/15/17, _lUZPh7mcPc
Milwaukee_Bucks,97,Los_Angeles_Clippers,96,3/15/17, PyEZq4_iBLw
Portland_Trail_Blazers,110,San_Antonio_Spurs,106,3/15/17, 7KxIP_NI5Rw
Los_Angeles_Lakers,100,Houston_Rockets,139,3/15/17, g32RdaeOi3w
Minnesota_Timberwolves,104,Boston_Celtics,117,3/15/17, emTV1lkuphQ
Dallas_Mavericks,112,Washington_Wizards,107,3/15/17, V9zOyIWbgnk
Philadelphia_76ers,104,Golden_State_Warriors,106,3/14/17, xwFYVm3SeIY
Portland_Trail_Blazers,77,New_Orleans_Pelicans,100,3/14/17, Xtyr9JjD-XQ
Oklahoma_City_Thunder,122,Brooklyn_Nets,104,3/14/17, u4E7KXfE7gQ
Detroit_Pistons,96,Cleveland_Cavaliers,128,3/14/17, DVoyJbpL5Yw
