homeTeam,homeTeamScore,awayTeam,awayTeamScore,videoID,datePlayed
Cleveland Cavaliers,90,Detroit Pistons,106, _g15VQDSU08,12/26/16
Los Angeles Clippers,102,Los Angeles Lakers,111, eHOs4sqBCV8,12/25/16
Minnesota Timberwolves,100,Oklahoma City Thunder,112, mi6yVBjKDYM,12/25/16
Chicago Bulls,100,San Antonio Spurs,119, d2FM9gLfSDg,12/25/16
Golden State Warriors,108,Cleveland Cavaliers,109, pLqQb1i58oE,12/25/16
Houston Rockets,109,Memphis Grizzlies,115, ugcNF0zBSV8,12/23/16
Oklahoma City Thunder,117,Boston Celtics,112, 5CpWdWjEU54,12/23/16
Brooklyn Nets,99,Cleveland Cavaliers,119, wiblZuDl2iE,12/23/16
Golden State Warriors,119,Detroit Pistons,113, OrYDsh2orrk,12/23/16
San Antonio Spurs,101,Los Angeles Clippers,106, B11b9HoxTu0,12/22/16
Los Angeles Lakers,107,Miami Heat,115, IZuZSXoKsBY,12/22/16
Golden State Warriors,117,Brooklyn Nets,101, FxUhAooWLbQ,12/22/16
Boston Celtics,109,Indiana Pacers,102, zw8AINl6e60,12/22/16
Houston Rockets,125,Phoenix Suns,111, k9Gv1DBBAOM,12/21/16
Washington Wizards,107,Chicago Bulls,97, EWNcA-a4qqA,12/21/16
Milwaukee Bucks,102,Cleveland Cavaliers,113, I0ki40UNOSs,12/21/16
Brooklyn Nets,104,Toronto Raptors,116, k-y_LSXqZJk,12/20/16
Portland Trail Blazers,121,Sacramento Kings,126, HmVGIeBvUew,12/20/16
Utah Jazz,74,Golden State Warriors,104, 84IIDHI2JKQ,12/20/16
Cleveland Cavaliers,114,Milwaukee Bucks,108, 0QA6d5hlFVg,12/20/16
San Antonio Spurs,102,Houston Rockets,100, A-Xr71k1szQ,12/20/16
Atlanta Hawks,110,Oklahoma City Thunder,108, 3yrXuPy39ck,12/19/16
Detroit Pistons,82,Chicago Bulls,113, wzo8FTbzlIs,12/19/16
New Orleans Pelicans,100,San Antonio Spurs,113, iK6U9yhzr58,12/18/16
Boston Celtics,105,Miami Heat,95, t3W3wupwV1g,12/18/16
Houston Rockets,111,Minnesota Timberwolves,109, HzcHLjmt1EE,12/17/16
Los Angeles Lakers,108,Cleveland Cavaliers,119, LvvivdGwSco,12/17/16
New York Knicks,90,Golden State Warriors,103, skzAkyj_xtU,12/15/16
San Antonio Spurs,107,Phoenix Suns,92, A3B9GXZ0Fi0,12/15/16
Boston Celtics,101,San Antonio Spurs,108, vcTEb2pWSzo,12/14/16
Cleveland Cavaliers,85,Memphis Grizzlies,93, vIRIT_bUkOE,12/14/16
Los Angeles Lakers,97,Brooklyn Nets,107, 5j8VFZDhqLM,12/14/16
Oklahoma City Thunder,95,Portland Trail Blazers,114, UtTE5vYaoVc,12/13/16
Minnesota Timberwolves,99,Chicago Bulls,94, fjgwrW-GXbA,12/13/16
Golden State Warriors,113,New Orleans Pelicans,109, eIXYEJE10ao,12/13/16
Memphis Grizzlies,86,Cleveland Cavaliers,103, PBqt47AVdqU,12/13/16
Los Angeles Lakers,92,Sacramento Kings,116, nEbrbWwsbRs,12/12/16
Brooklyn Nets,118,Houston Rockets,122, UAGBmsFjbQY,12/12/16
Washington Wizards,101,Miami Heat,112, pdKi_ExG_KY,12/12/16
New York Knicks,118,Los Angeles Lakers,112, 5RVT4cZ7wuM,12/11/16
Golden State Warriors,116,Minnesota Timberwolves,108, XC4TI8g6WKE,12/11/16
Boston Celtics,96,Oklahoma City Thunder,99, hjEQQntLdP0,12/11/16
Golden State Warriors,89,Memphis Grizzlies,110, zRJSCGA_-RM,12/10/16
Charlotte Hornets,105,Cleveland Cavaliers,116, cvN9bTwi3yc,12/10/16
Phoenix Suns,119,Los Angeles Lakers,115, yZCcUaMz8zY,12/9/16
Houston Rockets,102,Oklahoma City Thunder,99, 7RKfyY9Y-Nk,12/9/16
Miami Heat,84,Cleveland Cavaliers,114, cAd_sjoatsQ,12/9/16
Philadelphia 76ers,99,New Orleans Pelicans,88, u0_SiI1aGKQ,12/8/16
San Antonio Spurs,91,Chicago Bulls,95, qopxYgkgMGc,12/8/16
Golden State Warriors,106,Utah Jazz,99, BLh7wbw7lfw,12/8/16
Minnesota Timberwolves,110,Toronto Raptors,124, 6ztEwWoD7Gg,12/8/16
Golden State Warriors,115,Los Angeles Clippers,98, JKZPNo48bLE,12/7/16
Cleveland Cavaliers,126,New York Knicks,94, 1rdvtVBZjpY,12/7/16
Los Angeles Lakers,95,Houston Rockets,134, ltQnUZu7b7k,12/7/16
New York Knicks,114,Miami Heat,103, PEcTpvqVKc0,12/6/16
San Antonio Spurs,105,Minnesota Timberwolves,91, Ka49UQH8gdQ,12/6/16
Indiana Pacers,106,Golden State Warriors,142, 0Sf-s2z_iw4,12/5/16
Cleveland Cavaliers,116,Toronto Raptors,112, uJMaU5TbZWU,12/5/16
Boston Celtics,106,Houston Rockets,107, 3vaT68Q_whk,12/5/16
Indiana Pacers,111,Los Angeles Clippers,102,p_sz0TxmRao,12/4/16
Sacramento Kings,98,New York Knicks,106,d2FmQjfN-HA,12/4/16
New Orleans Pelicans,108,Oklahoma City Thunder,101,zeYTbBXc4Fg,12/4/16
Phoenix Suns,109,Golden State Warriors,138,5v9rpnWVBbc,12/3/16
Los Angeles Lakers,100,Memphis Grizzlies,103,3JDckqeHuHM,12/3/16
Boston Celtics,107,Philadelphia 76ers,106,T1f4xwroLd0,12/3/16
Washington Wizards,105,San Antonio Spurs,107,gzxcHoVUHPY,12/2/16
Memphis Grizzlies,105,Toronto Raptors,120, Y6bJhcLK1Ag,11/30/16
Detroit Pistons,121,Boston Celtics,114, 8k4qxnm0DIs,11/30/16
Los Angeles Clippers,122,Brooklyn Nets,127,dbch9g8uoBA,11/29/16
Atlanta Hawks,100,Golden State Warriors,105, z4b_8mB6tjA,11/28/16
Philadelphia 76ers,95,Toronto Raptors,122, SBrdGhvkBXY,11/28/16
Boston Celtics,112,Miami Heat,104, lO-8JLBkIGM,11/28/16
Atlanta Hawks,94,Los Angeles Lakers,109, YDgV4kU8VGo,11/27/16
Houston Rockets,130,Portland Trail Blazers,114, RwTkey9d_U0,11/27/16
Milwaukee Bucks,104,Orlando Magic,96, QT8p6LpTEhc,11/27/16
Minnesota Timberwolves,102,Golden State Warriors,115, mxp8QYxMjq4,11/26/16
Detroit Pistons,88,Oklahoma City Thunder,106, ET_ElwnLKec,11/26/16
New York Knicks,102,Charlotte Hornets,107, rhNPy_YVF5E,11/26/16
San Antonio Spurs,112,Washington Wizards,100, _RkY862mvZg,11/26/16
San Antonio Spurs,109,Boston Celtics,103, vI_WBjrr8kw,11/25/16
Los Angeles Lakers,106,Golden State Warriors,149,Mi3lZ3AArPY,11/23/16
Toronto Raptors,115,Houston Rockets,102,UQ6xvxy_aBU,11/23/16
Boston Celtics,111,Brooklyn Nets,92,7EtCV1vxBmQ,11/23/16
Portland Trail Blazers,125,Cleveland Cavaliers,137,pYn4ugyoaeU,11/23/16
Boston Celtics,99,Minnesota Timberwolves,93, JzZ5EhUvhsk,11/21/16
Houston Rockets,99,Detroit Pistons,96, 33P9xYweBro,11/21/16
Golden State Warriors,120,Indiana Pacers,83, OwtrqtLw4EE,11/21/16
Chicago Bulls,118,Los Angeles Lakers,110, 0lcPPKDXo-M,11/20/16
Indiana Pacers,115,Oklahoma City Thunder,111, agKS3iH0PGU,11/20/16
Golden State Warriors,124,Milwaukee Bucks,121, e5LL5lwIwhA,11/19/16
Boston Celtics,94,Detroit Pistons,92, 46cjktgpPew,11/19/16
San Antonio Spurs,116,Los Angeles Lakers,107, jilFle0ibQE,11/18/16
Golden State Warriors,104,Boston Celtics,88, 4uVYl1GrXL4,11/18/16
Detroit Pistons,81,Cleveland Cavaliers,104, 7hlI3YyvnNw,11/18/16
Chicago Bulls,85,Utah Jazz,77, ujqX6nE69sg,11/17/16
Portland Trail Blazers,109,Houston Rockets,126, x-wb4LpIZKE,11/17/16
Milwaukee Bucks,73,Miami Heat,96, 7zh3o3QKVLQ,11/17/16
Dallas Mavericks,83,Boston Celtics,90, IIVrZGnW76w,11/16/16
Houston Rockets,103,Oklahoma City Thunder,105, 5tMRHg1te-Q,11/16/16
Golden State Warriors,127,Toronto Raptors,121, AYbhlGF2Xcg,11/16/16
Cleveland Cavaliers,93,Indiana Pacers,103, xHTHkLcZMoE,11/16/16
Brooklyn Nets,118,Los Angeles Lakers,125, 89_zzpD-OlU,11/15/16
Chicago Bulls,113,Portland Trail Blazers,88, lruiE83ZqmA,11/15/16
Charlotte Hornets,115,Minnesota Timberwolves,108, IWVVmit8d1w,11/15/16
Atlanta Hawks,93,Miami Heat,90, J9yz2UETuTw,11/15/16
Toronto Raptors,117,Cleveland Cavaliers,121, daUzMnrdWhQ,11/15/16
Brooklyn Nets,95,Los Angeles Clippers,127, dh1w76HrgRI,11/14/16
Miami Heat,90,San Antonio Spurs,94, FG1RpcR1-a0,11/14/16
Boston Celtics,105,New Orleans Pelicans,106, UtGr3wOKb7c,11/14/16
Oklahoma City Thunder,88,Detroit Pistons,104, _fgHRZe0Huc,11/14/16
Phoenix Suns,120,Golden State Warriors,133, zhKHmQ1Sq7Q,11/13/16
Los Angeles Lakers,99,Minnesota Timberwolves,125, 1UOA_zL8qeU,11/13/16
Charlotte Hornets,93,Cleveland Cavaliers,100, WxJVJP0-Vl0,11/13/16
Memphis Grizzlies,96,Milwaukee Bucks,106, 5svSmUOoPHA,11/12/16
San Antonio Spurs,106,Houston Rockets,100, vMDsGBeHXJ4,11/12/16
Washington Wizards,95,Chicago Bulls,106, oRaeu2EhU38,11/12/16
Boston Celtics,105,Indiana Pacers,99, jCbjUFIgPfs,11/12/16
Detroit Pistons,86,San Antonio Spurs,96, -_HJvzYEflc,11/11/16
Cleveland Cavaliers,105,Washington Wizards,94, gWoCc79-aaQ,11/11/16
Los Angeles Lakers,101,Sacramento Kings,91, OgLFo49nyXw,11/10/16
Golden State Warriors,125,Denver Nuggets,101, FNNPdHhzA64,11/10/16
New Orleans Pelicans,112,Milwaukee Bucks,106, MoiDPRbyDME,11/10/16
Chicago Bulls,98,Miami Heat,95, aOxzhkjjB1Q,11/10/16
Dallas Mavericks,95,Golden State Warriors,116,LaQdT_hCpZo,11/9/16
Houston Rockets,101,San Antonio Spurs,99,zg7aAUadp0Y,11/9/16
Toronto Raptors,112,Oklahoma City Thunder,102,8Qwjb6ZVl8E,11/9/16
Chicago Bulls,107,Atlanta Hawks,115,nDK539R1Y2Q,11/9/16
Dallas Mavericks,109,Los Angeles Lakers,97, v2jJPfN007s,11/8/16
Phoenix Suns,121,Portland Trail Blazers,124, 0yOTPaT_r4g,11/8/16
Minnesota Timberwolves,110,Brooklyn Nets,119, QpAzD5iTsVg,11/8/16
Atlanta Hawks,110,Cleveland Cavaliers,106, evmcPgG9dzg,11/8/16
New Orleans Pelicans,106,Golden State Warriors,116, nyVJOz4bIvY,11/7/16
Orlando Magic,80,Chicago Bulls,112, C_7fgm89BXY,11/7/16
Miami Heat,85,Oklahoma City Thunder,97, Cif_Rx60j0w,11/7/16
Indiana Pacers,100,Charlotte Hornets,122, Kg_USJHAgPU,11/7/16
Phoenix Suns,108,Los Angeles Lakers,119, rviTVRqIxVY,11/6/16
Milwaukee Bucks,75,Dallas Mavericks,86, ydKAYHe2FZ8,11/6/16
Sacramento Kings,96,Toronto Raptors,91, qntvQfJssHg,11/6/16
Los Angeles Clippers,116,San Antonio Spurs,92, K5O4LMxdaNU,11/5/16
Cleveland Cavaliers,102,Philadelphia 76ers,101, GRCOItCbUQI,11/5/16
Golden State Warriors,97,Los Angeles Lakers,117, uc9_8k7WGqM,11/4/16
San Antonio Spurs,100,Utah Jazz,86, Z8TL73MJymg,11/4/16
New York Knicks,117,Chicago Bulls,104, gSc4LJsZ3VE,11/4/16
Toronto Raptors,96,Miami Heat,87, skKe784s0sk,11/4/16
Indiana Pacers,107,Milwaukee Bucks,125,gV2m1xgLzXQ,11/3/16
Boston Celtics,122,Cleveland Cavaliers,128,GW55Ej9vl2c,11/3/16
Oklahoma City Thunder,85,Los Angeles Clippers,83, RHy6N5MnuK0,11/2/16
Portland Trail Blazers,115,Phoenix Suns,118, 3B_0VYnrVeU,11/2/16
Chicago Bulls,100,Boston Celtics,107, 78gWD7_A4r4,11/2/16
Houston Rockets,118,New York Knicks,99, LfqqVoxHIkk,11/2/16
Golden State Warriors,127,Portland Trail Blazers,104, oprakdo83FE,11/1/16
Houston Rockets,120,Cleveland Cavaliers,128, -mZ9xHBZ9NA,11/1/16
Los Angeles Lakers,108,Indiana Pacers,115, n7DBJNUMp5c,11/1/16
Phoenix Suns,98,Los Angeles Clippers,116, ahB5SnDNxgg,10/31/16
Denver Nuggets,102,Toronto Raptors,105, 5LzUwcoljnE,10/31/16
Chicago Bulls,118,Brooklyn Nets,88, lt7S6-WRzdE,10/31/16
Dallas Mavericks,92,Houston Rockets,93, 51EW3bcqH1s,10/30/16
Los Angeles Lakers,96,Oklahoma City Thunder,113, m2RRQBR6wOs,10/30/16
Golden State Warriors,106,Phoenix Suns,100, blMchQA5xJ4,10/30/16
Minnesota Timberwolves,103,Sacramento Kings,106, jXOcVReBF3o,10/29/16
Brooklyn Nets,108,Milwaukee Bucks,110, uM9uAlbr7No,10/29/16
Indiana Pacers,101,Chicago Bulls,118, Y_FfKjDlOJo,10/29/16
Golden State Warriors,122,New Orleans Pelicans,114, S3GAN8j8eEU,10/28/16
Cleveland Cavaliers,94,Toronto Raptors,91, sKPmOZgGqso,10/28/16
Boston Celtics,99,Chicago Bulls,105, 8d_zOxpeI9Y,10/27/16
Minnesota Timberwolves,98,Memphis Grizzlies,102, JNtUTkYdeyI,10/26/16
Brooklyn Nets,117,Boston Celtics,122, JqWJGXxnoQ0,10/26/16
Utah Jazz,104,Portland Trail Blazers,113,aJoTCgs2RQ8,10/25/16
San Antonio Spurs,129,Golden State Warriors,100,j6OxmCbPr3E,10/25/16
New York Knicks,88,Cleveland Cavaliers,117,yYMnDFLhSsY,10/25/16
