homeTeam,homeTeamScore,awayTeam,awayTeamScore,videoID,datePlayed
Oklahoma City Thunder,92,Dallas Mavericks,91, J_eGiGq-aGY,3/27/17
Cleveland Cavaliers,74,San Antonio Spurs,103, glZHTj2EvyI,3/27/17
New Orleans Pelicans,115,Denver Nuggets,90, piybXmYASMQ,3/26/17
Portland Trail Blazers,97,Los Angeles Lakers,81, 8kFwGQLMkbw,3/26/17
Memphis Grizzlies,94,Golden State Warriors,106, -cyN4tyuy50,3/26/17
Miami Heat,108,Boston Celtics,112, bUfOUubKQBs,3/26/17
Sacramento Kings,98,Los Angeles Clippers,97, 4THYfNclY-4,3/26/17
Oklahoma City Thunder,125,Houston Rockets,137, RGGqZy79oLY,3/26/17
Chicago Bulls,109,Milwaukee Bucks,94, D7XEVdvya6c,3/26/17
Minnesota Timberwolves,100,Portland Trail Blazers,112, sshsPmVURxU,3/25/17
Toronto Raptors,94,Dallas Mavericks,86, VfRKnnF-JJo,3/25/17
New York Knicks,98,San Antonio Spurs,106, dJ8pXvUywK4,3/25/17
Washington Wizards,127,Cleveland Cavaliers,115, xEV_6G95u4o,3/25/17
Utah Jazz,95,Los Angeles Clippers,108, fkoeOnItCLc,3/25/17
Sacramento Kings,100,Golden State Warriors,114, BFx0zCw5eG8,3/24/17
Phoenix Suns,120,Boston Celtics,130, cQh_f3Q0-OA,3/24/17
New Orleans Pelicans,107,Houston Rockets,117, kyHz62QrPLs,3/24/17
Cleveland Cavaliers,112,Charlotte Hornets,105, 1Zh6ic-1J9g,3/24/17
New York Knicks,95,Portland Trail Blazers,110, lf7KJaEbZmA,3/23/17
Los Angeles Clippers,95,Dallas Mavericks,97, mfODccx-Syk,3/23/17
Memphis Grizzlies,90,San Antonio Spurs,97, XJ7-z6sf-Sg,3/23/17
Phoenix Suns,98,Brooklyn Nets,126, ulHZcmv-E40,3/23/17
Toronto Raptors,101,Miami Heat,84, MNO7Dh4d7gU,3/23/17
New York Knicks,101,Utah Jazz,108, PY5W4tG4Q_4,3/22/17
Detroit Pistons,95,Chicago Bulls,117, ND2uYGXQyy8,3/22/17
Cleveland Cavaliers,113,Denver Nuggets,126, dImG4ALRsm8,3/22/17
Philadelphia 76ers,97,Oklahoma City Thunder,122, YCR4z8NX5hM,3/22/17
Indiana Pacers,100,Boston Celtics,109, 911-BB9Lha8,3/22/17
Memphis Grizzlies,82,New Orleans Pelicans,95, CpSjSljRzz0,3/21/17
Los Angeles Clippers,133,Los Angeles Lakers,109, 3ZqFcdnd9ds,3/21/17
San Antonio Spurs,100,Minnesota Timberwolves,93, JuBLGohIA0k,3/21/17
Golden State Warriors,112,Dallas Mavericks,87, GKlWgjBNz0c,3/21/17
New York Knicks,105,Los Angeles Clippers,114, ifEf-0y8dSA,3/20/17
Denver Nuggets,124,Houston Rockets,125, v0hxJ2zLMBE,3/20/17
Golden State Warriors,111,Oklahoma City Thunder,95, R7XBYNXB-p4,3/20/17
Washington Wizards,102,Boston Celtics,110, LSDmWnWCgOc,3/20/17
Cleveland Cavaliers,125,Los Angeles Lakers,120, dNLiq1v4tk0,3/19/17
Indiana Pacers,91,Toronto Raptors,116, zlqJ9VQ10bM,3/19/17
Sacramento Kings,102,San Antonio Spurs,118, aDcrOABiYyw,3/19/17
Portland Trail Blazers,115,Miami Heat,104, KSx4HszED-c,3/19/17
Boston Celtics,99,Philadelphia 76ers,105, N5QCx2LH4Rs,3/19/17
Dallas Mavericks,111,Brooklyn Nets,104, qZ_YPum7i4o,3/19/17
Milwaukee Bucks,92,Golden State Warriors,117, X5j1MIyiwQE,3/18/17
Houston Rockets,109,Denver Nuggets,105, HFq2ivQJGk8,3/18/17
San Antonio Spurs,96,Memphis Grizzlies,104, j41IPfnh8CM,3/18/17
Cleveland Cavaliers,78,Los Angeles Clippers,108, NFhA55goy3w,3/18/17
Washington Wizards,93,Charlotte Hornets,98, VbRyAAjOs4A,3/18/17
Portland Trail Blazers,113,Atlanta Hawks,97, 9VJw0gdV6as,3/18/17
Sacramento Kings,94,Oklahoma City Thunder,110, Z5W9UW1ft04,3/18/17
Milwaukee Bucks,107,Los Angeles Lakers,103, wSA4lgiw0FQ,3/17/17
Minnesota Timberwolves,105,Miami Heat,123, NtyruVH3Xyg,3/17/17
Houston Rockets,112,New Orleans Pelicans,128, foBkoZY31H0,3/17/17
Boston Celtics,98,Brooklyn Nets,95, I9KFXts-IIA,3/17/17
Chicago Bulls,107,Washington Wizards,112, uZ5WGAZukN8,3/17/17
Orlando Magic,92,Golden State Warriors,122, f7rNBUfgqOk,3/16/17
Brooklyn Nets,121,New York Knicks,110, iClhaLjQz_U,3/16/17
Oklahoma City Thunder,123,Toronto Raptors,102, m1omtjvncWU,3/16/17
Utah Jazz,83,Cleveland Cavaliers,91, KAGZeMOgf_c,3/16/17
New Orleans Pelicans,112,Miami Heat,120, _lUZPh7mcPc,3/15/17
Milwaukee Bucks,97,Los Angeles Clippers,96, PyEZq4_iBLw,3/15/17
Portland Trail Blazers,110,San Antonio Spurs,106, 7KxIP_NI5Rw,3/15/17
Los Angeles Lakers,100,Houston Rockets,139, g32RdaeOi3w,3/15/17
Minnesota Timberwolves,104,Boston Celtics,117, emTV1lkuphQ,3/15/17
Dallas Mavericks,112,Washington Wizards,107, V9zOyIWbgnk,3/15/17
Philadelphia 76ers,104,Golden State Warriors,106, xwFYVm3SeIY,3/14/17
Portland Trail Blazers,77,New Orleans Pelicans,100, Xtyr9JjD-XQ,3/14/17
Oklahoma City Thunder,122,Brooklyn Nets,104, u4E7KXfE7gQ,3/14/17
Detroit Pistons,96,Cleveland Cavaliers,128, DVoyJbpL5Yw,3/14/17
Los Angeles Lakers,101,Denver Nuggets,129, Pp4RXCKePpI,3/13/17
Los Angeles Clippers,108,Utah Jazz,114, P7LAAY2GFIU,3/13/17
Atlanta Hawks,99,San Antonio Spurs,107, 72woXR_8_o4,3/13/17
Chicago Bulls,115,Charlotte Hornets,109, 4d7odOJdQhA,3/13/17
Philadelphia 76ers,118,Los Angeles Lakers,116, Em_rlWjIu-s,3/12/17
Cleveland Cavaliers,112,Houston Rockets,117, H6CmA6iZwGM,3/12/17
Chicago Bulls,80,Boston Celtics,100, JvebN0phEdg,3/12/17
Golden State Warriors,85,San Antonio Spurs,107, RnLMMlFa9Hg,3/11/17
Cleveland Cavaliers,116,Orlando Magic,104, W68UJe9jEXA,3/11/17
Philadelphia 76ers,100,Los Angeles Clippers,112, q-D-WWI_J6A,3/11/17
Utah Jazz,104,Oklahoma City Thunder,112, 2NJnN0JzlbU,3/11/17
Houston Rockets,115,Chicago Bulls,94, sk9s0OsEiLY,3/10/17
Golden State Warriors,102,Minnesota Timberwolves,103, 5feVPwSro3s,3/10/17
San Antonio Spurs,92,Oklahoma City Thunder,102, bc9R7KTHnjk,3/9/17
Cleveland Cavaliers,101,Detroit Pistons,106, 3c1b48bIwew,3/9/17
Boston Celtics,99,Golden State Warriors,86, GShZUiyqEH0,3/8/17
Sacramento Kings,104,San Antonio Spurs,114, yVPqoPOPNvY,3/8/17
Utah Jazz,115,Houston Rockets,108, 3GIxJkMzM00,3/8/17
New York Knicks,93,Milwaukee Bucks,104, dbyYuwV_4Ig,3/8/17
Los Angeles Lakers,111,Dallas Mavericks,122, WBuzCwcWipE,3/7/17
Portland Trail Blazers,126,Oklahoma City Thunder,121, nmQQCkKIAy0,3/7/17
Boston Celtics,102,Los Angeles Clippers,116, wQd1XsfwbZo,3/6/17
Houston Rockets,110,San Antonio Spurs,112, j-CcDxOpanE,3/6/17
Golden State Warriors,119,Atlanta Hawks,111, Jh_0-tgzHbw,3/6/17
Miami Heat,106,Cleveland Cavaliers,98, 6RhbEJpt4Dw,3/6/17
New Orleans Pelicans,105,Los Angeles Lakers,97, KE2t8iOSiLw,3/5/17
Oklahoma City Thunder,89,Dallas Mavericks,104, zeamGEGU2c0,3/5/17
Boston Celtics,106,Phoenix Suns,109, 4PDEnywl7V4,3/5/17
Golden State Warriors,112,New York Knicks,105, 3QcyFOJvYkw,3/5/17
Minnesota Timberwolves,90,San Antonio Spurs,97, XqCRmRcJFfA,3/4/17
Toronto Raptors,94,Milwaukee Bucks,101, wxlKSMqcqig,3/4/17
Cleveland Cavaliers,92,Miami Heat,120, PBxqiQg61AE,3/4/17
San Antonio Spurs,101,New Orleans Pelicans,98, APFtCHqMeNg,3/3/17
Oklahoma City Thunder,111,Phoenix Suns,118, mSXvEMWBSN4,3/3/17
Cleveland Cavaliers,135,Atlanta Hawks,130, BWUPGPzsR8o,3/3/17
Oklahoma City Thunder,109,Portland Trail Blazers,114, 5EnN1Ea7ZDw,3/2/17
Golden State Warriors,87,Chicago Bulls,94, CRIKCfJQxQQ,3/2/17
Houston Rockets,122,Los Angeles Clippers,103, -S2EeZXcgnw,3/1/17
Indiana Pacers,99,San Antonio Spurs,100,IpEVEFYiW5s,3/1/17
Cleveland Cavaliers,99,Boston Celtics,103,BpHYzCIpSww,3/1/17
Charlotte Hornets,109,Los Angeles Lakers,104, JBniRFF4gE8,2/28/17
Utah Jazz,106,Oklahoma City Thunder,109, lCiKQ22_mLw,2/28/17
Golden State Warriors,108,Washington Wizards,112, fbktmLYD6dQ,2/28/17
Indiana Pacers,117,Houston Rockets,108, xnSoDUh-waQ,2/27/17
Golden State Warriors,119,Philadelphia 76ers,108, kVaoo69FLqo,2/27/17
