homeTeam,homeTeamScore,awayTeam,awayTeamScore,videoID,datePlayed,title
Arsenal,3,Bournemouth,1,8PrppNhQscY,11/27/16,Alexis Sanchez leads Arsenal over Bournemouth
Manchester United,1,West Ham,1,iFXZ4dQOCSM,11/27/16,Manchester United  West Ham play to 1-1 draw
Everton,0,Southampton,1,VXHgIctLM48,11/27/16,Southampton beats Everton in Ronald Koeman's return
Stoke City,1,Watford,0,o-thGQaUE1I,11/27/16,Stoke City edge Watford through own goal
Chelsea,2,Tottenham,1,m4Ngda5D43M,11/26/16,Chelsea edges Tottenham on Victor Moses goal
Leicester City,2,Middlesbrough,2,KSka9P20NvE,11/26/16,Leicester City draws Middlesbrough off Islam Slimani's penalty shot goal
Burnley,3,Crystal Palace,2,imPdT0k3dNk,11/5/16,Manchester City sneak out win v. Burnley with Sergio Aguero brace
West Brom,1,Hull City,1,_6xSFzV8yYU,11/26/16,Hull City draw West Bromwich Albion as Gareth McAuley  Michael Dawson score
Liverpool,2,Sunderland,0,MloMqM0glZA,11/26/16,Liverpool top Sunderland behind Divock Origi  James Milner goals
Crystal Palace,4,Swansea City,5,#NAME?,11/26/16,Swansea City wins wild match over Crystal Palace
West Brom,4,Burnley,0,XVDj7_wH0Dc,11/21/16,Matt Phillips  West Brom blank Burnley  4-0
Chelsea,1,Middlesbrough,0,7nEBqj3_-Hg,11/20/16,Chelsea clip Middlesbrough 1-0
Tottenham,3,West Ham,2,CaKZX5-Uco8,11/19/16,Tottenham steals win from West Ham with late comeback
Bournemouth,1,Stoke City,0,CoSIrrcOEgc,11/19/16,Bournemouth tops Stoke City
Crystal Palace,1,Manchester City,2,vsLBX5qPTQQ,11/19/16,Yaya Toure leads Manchester City to victory over Crystal Palace
Liverpool,0,Southampton,0,8GmO_-AVx8c,11/19/16,Southampton stymies Liverpool to earn 0-0 draw
Manchester United,1,Arsenal,1,90O_ivs9pDA,11/19/16,Manchester United  Arsenal play to 1-1 draw
Everton,1,Swansea City,1,6B3sXyO9N08,11/19/16,Everton scores late to steal a point against Swansea City
Hull City,0,Sunderland,3,5iGzaV4lLn0,11/19/16,Sunderland dominates Hull City 3-0
Leicester City,1,Watford,2,UiZNffAFFZY,11/19/16,Watford holds off Leicester City
Manchester United,3,Swansea City,1,lgyJbg6j-GM,11/6/16,Manchester United handle Swansea City on the road
West Brom,2,Leicester City,1,32RgmkrpDDY,11/6/16,West Brom defeat Leicester City 2-1
Southampton,1,Hull City,2,xqYkbpZLKRI,11/6/16,Hull City clips Southampton 2-1
Liverpool,6,Watford,1,JamYqsjYSLo,11/6/16,Liverpool hammers Watford 6-1
Tottenham,1,Arsenal,1,de9Q-RDs_UE,11/6/16,Arsenal  Tottenham settle for 1-1 draw
Bournemouth,1,Sunderland,2,3teAy0q6fGI,11/5/16,Sunderland earns first win of the season  defeats Bournemouth
Chelsea,5,Everton,0,AtsepM-Ho7M,11/5/16,Chelsea crushes Everton 5-0
Burnley,3,Crystal Palace,2,gprG5_Gcic4,11/5/16,Burnley tops Crystal Palace in 3-2 thriller
Middlesbrough,1,Manchester City,1,LMHiv7YfF3Y,11/5/16,Middlesbrough earns a point against Manchester City
Stoke City,1,West Ham,1,G2acg7y1Xuo,11/5/16,West Ham  Stoke City play to 1-1 draw
Chelsea,2,Southampton,0,eiJRZyr_kVs,10/30/16,Chelsea handle Southampton 2-0
Everton,2,West Ham,0,6kcji2yec6E,10/30/16,Everton powers past West Ham
Bournemouth,0,Middlesbrough,2,9TZoSzKO3tU,10/29/16,Middlesbrough tops Bournemouth 2-0
West Brom,0,Manchester City,4,RT7mBtBoYUQ,10/30/16,Manchester City routs West Brom 4-0
Arsenal,4,Sunderland,1,CtrND6C4iBU,10/29/16,Arsenal defeats Sunderland 4-1
Watford,1,Hull City,0,eNEZnML2ldc,10/29/16,Hull City own goal helps Watford get 1-0 win
Liverpool,4,Crystal Palace,2,34ZvpvsbmfU,10/29/16,Offense shines in Liverpool's 4-2 win against Crystal Palace
Tottenham,1,Leicester City,1,Fv0BoddWei0,10/29/16,Ahmed Musa's score helps Leicester draw Tottenham
Manchester United,0,Burnley,0,pt2Y37MILoM,10/29/16,Manchester United  Burnley play to scoreless draw
Manchester City,4,West Brom,0,RT7mBtBoYUQ,10/29/16,Manchester City got two goals apiece from Sergio Aguero and Ilkay Gundogan as the team dominated West Brom on Matchday 10.
Chelsea,4,Manchester United,0,StbjZOFkc5E,10/23/16,Chelsea top Manchester United 4-0
Tottenham,0,Bournemouth,0,1aXOp9fq178,10/22/16,Bournemouth hold Tottenham to 0-0 draw
Stoke City,2,Hull City,0,9KQQ828qsXY,10/22/16,Xherdan Shaqiri's two goals lead Stoke City past Hull City
Liverpool,2,West Brom,1,SFK7vS6z6GE,10/22/16,Liverpool gets past West Brom 2-1
Southampton,1,Manchester City,1,VK8x4W_om9E,10/23/16,Manchester City  Southampton draw 1-1
West Ham,1,Sunderland,0,Kz4R80P5gTI,10/22/16,West Ham gets stoppage-time winner to defeat Sunderland
Watford,0,Swansea City,0,BwD4j5ldITc,10/22/16,Swansea City  Watford draw as Bob Bradley earns first Premier League point
Arsenal,0,Middlesbrough,0,oxfhtfgXBsY,10/22/16,Arsenal  Middlesbrough play to draw
Leicester City,3,Crystal Palace,1,4nJgH3B1fKY,10/22/16,Leicester City earns three points against Crystal Palace
Everton,1,Burnley,2,UMxgoogwt50,10/22/16,Burnley tops Everton with late winner
Liverpool,0,Manchester United,0,uMVOe7FHpuk,10/17/16,Liverpool  Manchester United play to scoreless draw
Southampton,3,Burnley,1,oxfaswLdJ7U,10/16/16,Southampton beats Burnley 3-1
Watford,1,Middlesbrough,0,G7mPY3mZrlc,10/16/16,Watford gets past Middlesbrough 1-0
West Ham,1,Crystal Palace,0,avjaSN6zBNQ,10/15/16,Ten-man West Ham top Crystal Palace  1-0
Tottenham,1,West Brom,1,Wz3H5J8Ej5k,10/15/16,Tottenham draw West Brom  1-1
Stoke City,2,Sunderland,0,pzDJhbXzVLY,10/15/16,Allen  Stoke City blank Sunderland  2-0
Bournemouth,6,Hull City,1,ATQHDzxgUdM,10/15/16,Bournemouth roll over Hull City  6-1
Everton,1,Manchester City,1,#NAME?,10/16/16,Manchester City  Everton draw 1-1
Chelsea,3,Leicester City,0,rcii6bQx4mU,10/15/16,Diego Costa  Chelsea blank Leicester City  3-0
Arsenal,3,Swansea City,2,N_NnhpvLJWE,10/15/16,Arsenal spoil Bob Bradley's debut with Swansea
Arsenal,1,Burnley,0,1GAPIk5VQs8,10/2/16,Arsenal beats Burnley on late score
Tottenham,2,Manchester City,0,ANKUrV4VVh8,10/2/16,Tottenham tops Manchester City
Stoke City,1,Manchester United,1,OZFOReviNV4,10/2/16,Stoke City forces draw with Man Utd
Southampton,0,Leicester City,0,s7XbPZLJlJE,10/2/16,Leicester-Southampton play to exciting draw
West Ham,1,Middlesbrough,1,A79tXHV-Dkg,10/1/16,Payet ensures a draw for West Ham v. Middlesbrough
Bournemouth,2,Watford,2,C-uZK8yvpCk,10/1/16,Watford seals draw vs. Bournemouth
