homeTeam,homeTeamScore,awayTeam,awayTeamScore,videoID,datePlayed,title
Stoke City,1,Crystal Palace,0,138MFFd_2BQ,2/11/17,Joe Allen's goal lifts Stoke past Crystal Palace
Arsenal,2,Hull City,0,Y6lLN4JG0LI,2/11/17,Alexis Sanchez's brace leads Arsenal past Hull
Manchester United,3,Leicester City,0,Ai7NYLoHNhU,2/5/17,Manchester United blowout Leicester City
Manchester City,2,Swansea City,1,0UK5CcPdUdA,2/5/17,Gabriel Jesus brace leads Man City past Swansea
Southampton,1,West Ham,3,G86LiG2_SSo,2/4/17,West Ham beat Southampton 3-1
Tottenham,1,Middlesbrough,0,Q4nBRhX2Aqc,2/4/17,Tottenham get past Middlesbrough in 1-0 win
Liverpool,0,Hull City,2,9y5Rh344x0A,2/4/17,Hull City shock Liverpool with 2-0 win
Sunderland,4,Crystal Palace,0,5ehDx4jP-QA,2/4/17,Sunderland put four goals past Palace in win
Watford,2,Burnley,1,ady5ij0uVcU,2/4/17,Watford hold on to beat 10-man Burnley 2-1
Chelsea,3,Arsenal,1,0Qo9ps8vthg,2/4/17,Chelsea cruise past Arsenal for 3-1 win
Everton,6,Bournemouth,3,CjDCjttVGuw,2/4/17,Lukaku leads Everton to 6-3 win over Bournemouth
Everton,1,Stoke City,1,m_kJvGHNHTM,2/1/17,Stoke City  Everton settle for 1-1 draw
Manchester United,0,Hull City,0,laP07E97If4,2/1/17,Hull City stifle Manchester United in 0-0 draw
Manchester City,4,West Ham,0,u9pCrdlPU0Q,2/1/17,Man City too much for West Ham in 4-0 blowout
Southampton,1,Swansea City,2,7xiYCIyctXs,1/31/17,Swansea earn second straight win  beat Southampton
Chelsea,1,Liverpool,1,wXzNKMkaVJU,1/31/17,Liverpool  Chelsea share points in 1-1 draw
West Brom,1,Middlesbrough,1,t7rLZkbDjOU,1/31/17,Middlesbrough  West Brom play to 1-1 draw
Bournemouth,0,Crystal Palace,2,2blkHux_v0U,1/31/17,Crystal Palace power past Bournemouth in 2-0 win
Arsenal,1,Watford,2,bKkCkbWZuhY,1/31/17,Watford clip Arsenal in 2-1 win
Tottenham,0,Sunderland,0,G7E-PEPBOBw,1/31/17,Sunderland earn draw against Tottenham
Leicester City,0,Burnley,1,i7egyQF4qhk,1/31/17,Burnley score late to get win against Leicester
Chelsea,1,Liverpool,1,QsW7CmteVAA,1/31/17,Chelsea set to visit struggling Liverpool at Anfield
