Team1,Score1,Team2,Score2,video link,date,title
Chelsea,,West Brom,,u73zxazkdcI,12/11/16,Diego Costa leads Chelsea past West Brom for ninth straight win
Manchester City,,Leicester City,,96qmy_q4RuU,12/11/16,Jamie Vardy's incredible hat trick seals a Leicester win v. Man City
Crystal Palace,,Hull City,,eLxfhMKr1hk,12/10/16,Hull CIty  Crystal Palace play to 3-3 draw
Bournemouth,,Burnley,,zhe8RwLIIl4,12/10/16,Burnley holds on to beat Bournemouth 3-2
Arsenal,,Stoke City,,8pzcqNCgzfE,12/10/16,Arsenal put three goals past Stoke City in win
Swansea City,,Sunderland,,J7kQ_98GvkU,12/10/16,Swansea City dismantle Sunderland in big win
Everton,,Watford,,QRrN_aXckgg,12/10/16,Watford comes back from a goal down to beat Everton
Hull City,,Middlesbrough,,j3xb6I3xsos,4/6/17,Middlesbrough get by Hull City
Manchester United,,Everton,,spb6lS4wIDU,12/4/16,Manchester United and Everton play to 1-1 draw
Liverpool,,Bournemouth,,AlI5VHMZflo,12/4/16,Bournemouth tops Liverpool 4-3 with thrilling comeback
Arsenal,,West Ham,,XAnkKGgSw5s,12/3/16,Arsenal dominate West Ham in 5-1 win
Stoke City,,Burnley,,tCj7EwsWG3o,12/3/16,Stoke City handle Burnley 2-0
Southampton,,Crystal Palace,,rOFRSJfgB3k,12/3/16,Crystal Palace bury Southampton in three-goal win
Tottenham,,Swansea City,,5C5MKH4oXBQ,12/3/16,Tottenham thump Swansea City 5-0
West Brom,,Watford,,XdNfa9n4SLo,12/3/16,West Brom top Watford 3-1
Leicester City,,Sunderland,,deBr8zrwbCM,12/3/16,Sunderland hold off Leicester City for 2-1 win
Chelsea,,Manchester City,,c19lUekl5kY,12/3/16,Chelsea beats Man City after strong second half
Arsenal,,Bournemouth,,8PrppNhQscY,11/28/16,Alexis Sanchez leads Arsenal over Bournemouth
Manchester United,,West Ham,,iFXZ4dQOCSM,11/28/16,Manchester United  West Ham play to 1-1 draw
Everton,,Southampton,,VXHgIctLM48,11/28/16,Southampton beats Everton in Ronald Koeman's return
Stoke City,,Watford,,o-thGQaUE1I,11/28/16,Stoke City edge Watford through own goal
Chelsea,,Tottenham,,m4Ngda5D43M,11/26/16,Chelsea edges Tottenham on Victor Moses goal
Leicester City,,Middlesbrough,,KSka9P20NvE,11/26/16,Leicester City draws Middlesbrough off Islam Slimani's penalty shot goal
Burnley,,Crystal Palace,,imPdT0k3dNk,11/26/16,Manchester City sneak out win v. Burnley with Sergio Aguero brace
West Brom,,Hull City,,_6xSFzV8yYU,11/26/16,Hull City draw West Bromwich Albion as Gareth McAuley  Michael Dawson score
Liverpool,,Sunderland,,MloMqM0glZA,11/26/16,Liverpool top Sunderland behind Divock Origi  James Milner goals
Crystal Palace,,Swansea City,,#NAME?,11/26/16,Swansea City wins wild match over Crystal Palace
West Brom,,Burnley,,XVDj7_wH0Dc,11/22/16,Matt Phillips  West Brom blank Burnley  4-0
Chelsea,,Middlesbrough,,7nEBqj3_-Hg,11/20/16,Chelsea clip Middlesbrough 1-0
Tottenham,,West Ham,,CaKZX5-Uco8,11/19/16,Tottenham steals win from West Ham with late comeback
Bournemouth,,Stoke City,,CoSIrrcOEgc,11/19/16,Bournemouth tops Stoke City
Crystal Palace,,Palace,,vsLBX5qPTQQ,11/19/16,Yaya Toure leads Manchester City to victory over Crystal Palace
Liverpool,,Southampton,,8GmO_-AVx8c,11/19/16,Southampton stymies Liverpool to earn 0-0 draw
Manchester United,,Arsenal,,90O_ivs9pDA,11/19/16,Manchester United  Arsenal play to 1-1 draw
Everton,,Swansea City,,6B3sXyO9N08,11/19/16,Everton scores late to steal a point against Swansea City
Hull City,,Sunderland,,5iGzaV4lLn0,11/19/16,Sunderland dominates Hull City 3-0
Leicester City,,Watford,,UiZNffAFFZY,11/19/16,Watford holds off Leicester City
Manchester United,,Swansea City,,lgyJbg6j-GM,11/6/16,Manchester United handle Swansea City on the road
West Brom,,Leicester City,,32RgmkrpDDY,11/6/16,West Brom defeat Leicester City 2-1
Southampton,,Hull City,,xqYkbpZLKRI,11/6/16,Hull City clips Southampton 2-1
Liverpool,,Watford,,JamYqsjYSLo,11/6/16,Liverpool hammers Watford 6-1
Tottenham,,Arsenal,,de9Q-RDs_UE,11/6/16,Arsenal  Tottenham settle for 1-1 draw
Bournemouth,,Sunderland,,3teAy0q6fGI,11/5/16,Sunderland earns first win of the season  defeats Bournemouth
Chelsea,,Everton,,AtsepM-Ho7M,11/5/16,Chelsea crushes Everton 5-0
Burnley,,Crystal Palace,,gprG5_Gcic4,11/5/16,Burnley tops Crystal Palace in 3-2 thriller
Middlesbrough,,Crystal Palace,,LMHiv7YfF3Y,11/5/16,Middlesbrough earns a point against Manchester City
Stoke City,,West Ham,,G2acg7y1Xuo,11/5/16,West Ham  Stoke City play to 1-1 draw
Chelsea,,Southampton,,eiJRZyr_kVs,10/30/16,Chelsea handle Southampton 2-0
Everton,,West Ham,,6kcji2yec6E,10/30/16,Everton powers past West Ham
Bournemouth,,Middlesbrough,,9TZoSzKO3tU,10/30/16,Middlesbrough tops Bournemouth 2-0
West Brom,,Crystal Palace,,RT7mBtBoYUQ,10/30/16,Manchester City routs West Brom 4-0
Arsenal,,Sunderland,,CtrND6C4iBU,10/30/16,Arsenal defeats Sunderland 4-1
Watford,,Hull City,,eNEZnML2ldc,10/30/16,Hull City own goal helps Watford get 1-0 win
Liverpool,,Crystal Palace,,34ZvpvsbmfU,10/30/16,Offense shines in Liverpool's 4-2 win against Crystal Palace
Tottenham,,Leicester City,,Fv0BoddWei0,10/30/16,Ahmed Musa's score helps Leicester draw Tottenham
Manchester United,,Burnley,,pt2Y37MILoM,10/30/16,Manchester United  Burnley play to scoreless draw
Manchester City,4,West Brom,0,RT7mBtBoYUQ,10/29/16,Manchester City got two goals apiece from Sergio Aguero and Ilkay Gundogan as the team dominated West Brom on Matchday 10.
Chelsea,,Manchester United,,StbjZOFkc5E,10/23/16,Chelsea top Manchester United 4-0
Tottenham,,Bournemouth,,1aXOp9fq178,10/23/16,Bournemouth hold Tottenham to 0-0 draw
Stoke City,,Hull City,,9KQQ828qsXY,10/23/16,Xherdan Shaqiri's two goals lead Stoke City past Hull City
Liverpool,,West Brom,,SFK7vS6z6GE,10/22/16,Liverpool gets past West Brom 2-1
Southampton,,Crystal Palace,,VK8x4W_om9E,10/23/16,Manchester City  Southampton draw 1-1
West Ham,,Sunderland,,Kz4R80P5gTI,10/23/16,West Ham gets stoppage-time winner to defeat Sunderland
Watford,,Swansea City,,BwD4j5ldITc,10/23/16,Swansea City  Watford draw as Bob Bradley earns first Premier League point
Arsenal,,Middlesbrough,,oxfhtfgXBsY,10/23/16,Arsenal  Middlesbrough play to draw
Leicester City,,Crystal Palace,,4nJgH3B1fKY,10/23/16,Leicester City earns three points against Crystal Palace
Everton,,Burnley,,UMxgoogwt50,10/23/16,Burnley tops Everton with late winner
Liverpool,,Manchester United,,uMVOe7FHpuk,10/17/16,Liverpool  Manchester United play to scoreless draw
Southampton,,Burnley,,oxfaswLdJ7U,10/16/16,Southampton beats Burnley 3-1
Watford,,Middlesbrough,,G7mPY3mZrlc,10/16/16,Watford gets past Middlesbrough 1-0
West Ham,,Crystal Palace,,avjaSN6zBNQ,10/16/16,Ten-man West Ham top Crystal Palace  1-0
Tottenham,,West Brom,,Wz3H5J8Ej5k,10/16/16,Tottenham draw West Brom  1-1
Stoke City,,Sunderland,,pzDJhbXzVLY,10/16/16,Allen  Stoke City blank Sunderland  2-0
Bournemouth,,Hull City,,ATQHDzxgUdM,10/16/16,Bournemouth roll over Hull City  6-1
Everton,,Crystal Palace,,#NAME?,10/16/16,Manchester City  Everton draw 1-1
Chelsea,,Leicester City,,rcii6bQx4mU,10/16/16,Diego Costa  Chelsea blank Leicester City  3-0
Arsenal,,Swansea City,,N_NnhpvLJWE,10/15/16,Arsenal spoil Bob Bradley's debut with Swansea
Tottenham,,West Brom,,JsTHX6a5Tgk,10/12/16,Unbeaten Tottenham battle West Brom
Stoke City,,Sunderland,,SgI9eCs0h84,10/12/16,Stoke City  Sunderland meet in battle of winless clubs
Arsenal,,Swansea City,,BIgMQNjS8Kw,10/12/16,Arsenal look to spoil Bob Bradley's Swansea debut
Bournemouth,,Hull City,,sEDB0y2d0Xg,10/12/16,Can Hull City end losing skid v. Bournemouth?
Southampton,,Burnley,,SkrDiuZW9Uk,10/12/16,Southampton take on Burnley at home
West Ham,,Crystal Palace,,PuNzAVXGN_A,10/12/16,Crystal Palace look to keep hot streak alive against West Ham
Manchester City,,Everton,,T-wIfanBclU,10/12/16,Man City-Everton headlines Matchday 8
Liverpool,,Manchester United,,XrqbwLlYwK8,10/12/16,Red-hot Liverpool host Manchester United
Watford,,Middlesbrough,,GyVH-E1B6Z8,10/12/16,Watford  Middlesbrough square off
Chelsea,,Leicester City,, -H508GVuE7U,10/12/16,Chelsea  Leicester City bring struggles to Stamford Bridge
Liverpool,,Manchester United,,_oC3IeKT0Po,10/12/16,Liverpool holds advantage over Manchester United
Arsenal,,Burnley,,1GAPIk5VQs8,10/2/16,Arsenal beats Burnley on late score
Tottenham,,Crystal Palace,,ANKUrV4VVh8,10/2/16,Tottenham tops Manchester City
Stoke City,,Manchester United,,OZFOReviNV4,10/2/16,Stoke City forces draw with Man Utd
Southampton,,Leicester City,,s7XbPZLJlJE,10/2/16,Leicester-Southampton play to exciting draw
West Ham,,Middlesbrough,,A79tXHV-Dkg,10/1/16,Payet ensures a draw for West Ham v. Middlesbrough
Bournemouth,,Watford,,C-uZK8yvpCk,10/1/16,Watford seals draw vs. Bournemouth
