Team1,Score1,Team2,Score2,video link,date,title
Manchester United,,Burnley,,VPgup8Vb-8c,4/23/17,Wayne Rooney's goal leads Man United to win over Burnley
Watford,,Hull City,,QoZD_72gcqI,4/22/17,Clucas leads 10-man Hull City to win over Watford
Bournemouth,,Middlesbrough,,el1LLg4kzcQ,4/22/17,Bournemouth blow past Middlesbrough
Stoke City,,Swansea City,,SFFVGIoevBI,4/22/17,Llorente helps Swansea stifle Stoke City
Everton,,West Ham,,ifWJJdwz7EM,4/22/17,West Ham  Everton play to scoreless draw
Chelsea,,Tottenham,,6lbAXUpNF_k,4/19/17,Tottenham could edge out Chelsea for title
Arsenal,,Middlesbrough,,r99cBO9FTMw,4/17/17,Arsenal get past Middlesbrough for 2-1 win
Arsenal,,Middlesbrough,,U9XqZR0UK7s,4/17/17,Sanchez's stunning free kick puts Arsenal in front of Middlesbrough
Chelsea,,Manchester United,,LRzdM7fch-g,4/17/17,Ander Herrera on Man United's win over Chelsea
Chelsea,,Manchester United,,nLVz-8RwGDU,4/16/17,Chelsea fall to Manchester United as title race gets tighter
Liverpool,,West Brom,,NObzadtdaRI,4/16/17,Liverpool get past West Brom in 1-0 win
Chelsea,,Manchester United,,hdOHbXEm8dk,4/16/17,Rashford provides breakthrough for Man United against Chelsea
Manchester City,,Southampton,,X4jrmYR6CsA,4/15/17,Man City beat Southampton to move into third
West Ham,,Sunderland,,3V19pVRu5N4,4/15/17,Sunderland salvage draw against West Ham
Stoke City,,Hull City,,SjZsL8-hdX4,4/15/17,Stoke City too much for Hull City in 3-1 win
Watford,,Swansea City,,CbYQ12geHQ8,4/15/17,Etienne Capoue helps Watford to win over Swansea
Everton,,Burnley,,NUvcZsMxrzk,4/15/17,Barkley  Lukaku secure Everton win over Burnley
Leicester City,2,Palace,2,HSaWJNPusGQ,4/15/17,Palace come back to earn draw with Leicester
Stoke City,3,Hull City,1,SjZsL8-hdX4,4/15/17,"Stoke City got goals from three different players, including a stunning strike from Xeherdan Shaqiri as they topped Hull City 3-1 on Matchday 33."
Crystal Palace,,Palace,,mtRMDjAwQrs,4/15/17,Yohan Cabaye gets a goal back for Crystal Palace
Tottenham,,Bournemouth,,FWlQ6KRC87s,4/15/17,Tottenham dominate Bournemouth in 4-0 win
Arsenal,,Crystal Palace,,RmYaZiyngs0,4/11/17,Crystal Palace embarrasses Arsenal
Arsenal,,Crystal Palace,,Yc2xrxjMuMM,4/10/17,Crystal Palace's Townsend scores to take the lead over Arsenal
Everton,,Leicester City,,QFs6UE6QxQk,4/9/17,Lukaku doubles to lead Everton past Leicester
Manchester United,,Sunderland,,WRo3IwRfsbg,4/9/17,Man United handle 10-man Sunderland in 3-0 win
Tottenham,,Watford,,KPzaqA2ImNI,4/9/17,Tottenham score four goals in Watford blowout
Manchester City,,Hull City,,vKu20kVewJs,4/8/17,Man City dominate Hull City in 3-1 win
West Ham,,Swansea City,,uIWhg4Wmdl0,4/8/17,West Ham  Cheikhou Kouyate top Swansea City
Chelsea,,Bournemouth,,KTvYPMDL134,4/8/17,Chelsea cruise past Bournemouth to hold title lead
Burnley,,Middlesbrough,,YqzBkho0XGM,4/8/17,Burnley holds Middlesbrough to draw
Liverpool,,Stoke City,,Cz98yPXwf_o,4/8/17,Liverpool comeback to beat Stoke City
West Brom,,Southampton,,rRp3jy3UUy0,4/8/17,Southampton clip West Brom Albion in 1-0 win
Chelsea,,Tottenham,,9Pr4fecTNGo,4/7/17,Chelsea still in control  Tottenham surging in latest Premier League Power Rankings
Tottenham,,Swansea City,,jN1nMDC1g38,4/6/17,Tottenham leave it late  top Swansea City 3-1
Southampton,,Crystal Palace,,Cf6o5KVThSA,4/6/17,Southampton comeback to beat Crystal Palace
Liverpool,,Bournemouth,,krQLbmdb0Ew,4/5/17,Liverpool concede late to draw with Bournemouth
Hull City,,Middlesbrough,,yJnCY4tIG8o,4/5/17,Hull City outlast Middlesbrough in 4-2 win
Chelsea,,Manchester City,,B-dPaWw-4RY,4/5/17,Chelsea earn massive 2-1 win over Man City
Arsenal,,West Ham,,eA4mmJC_-sA,4/5/17,Arsenal complete 3-0 rout of West Ham
Arsenal,,West Ham,,I7I0B1TMpdA,4/5/17,Arsenal's Mesut Ozil makes it 1-0 against West Ham
Liverpool,,Bournemouth,,t-Gfw8mVdH0,4/5/17,Liverpool's Philippe Coutinho equalizes against Bournemouth
Chelsea,,Manchester City,,J8dDKGY52Y4,4/5/17,Chelsea's Eden Hazard misses penalty kick  scores rebound v. Man City
Southampton,,Crystal Palace,,fuWkr7mHiO4,4/5/17,Crystal Palace's Christian Benteke opens the scoring against Southampton
Tottenham,,Swansea City,,NRSOe6F24us,4/5/17,Swansea City's Wayne Routledge opens the scoring against Tottenham
Chelsea,,Manchester City,,uO3UrHpltsk,4/5/17,Chelsea's Eden Hazard notches a goal against Man City
Liverpool,,Bournemouth,,TdWYbuBEPNw,4/5/17,Bournemouth's Benik Afobe capitalizes on turnover against Liverpool
Hull City,,Middlesbrough,,Lf_I7fURQmw,4/5/17,Middlesbrough's Alvaro Negredo puts his side ahead against Hull City
Manchester United,,Everton,,QbSLM-ZNhys,4/4/17,Late goal helps Man United draw with Everton
Leicester City,,Sunderland,,xb1ZN622beQ,4/4/17,Leicester top Sunderland  win fifth straight in PL
West Brom,,Watford,,wT0KcMZKpLc,4/4/17,Watford earn 2-0 victory over West Brom
Stoke City,,Burnley,,nDyq-__tBTA,4/4/17,Burnley clip Stoke City in 1-0 win
Leicester City,,Sunderland,,MfxiYuLLih8,4/4/17,Leicester's Slimani scores header vs. Sunderland
Manchester United,,Everton,,DATZYnjtKKM,4/4/17,Jagielka puts Everton in front against Man United
Manchester United,,West Brom,, -maeEHE2CRo,4/2/17,Manchester United held to draw v. West Brom
Leicester City,,Stoke City,,G324Cjs7mKQ,4/2/17,Leicester beat Stoke  get fourth straight PL win
West Ham,,Hull City,,5ilTukYuAq0,4/1/17,Robertson and Ranocchia rally Hull City for win over West Ham
Tottenham,,Burnley,,mRtE6i4hzH0,4/1/17,Tottenham leave it late  but top Burnley 2-0
Watford,,Sunderland,,Fg7gBRV-HmU,4/1/17,Watford clip Sunderland 1-0
Southampton,,Bournemouth,,1gCBfY5u0_Y,4/1/17,Southampton  Bournemouth draw 0-0
Chelsea,,Crystal Palace,,S4wM6k_GDSA,4/1/17,Crystal Palace stun Chelsea at Stamford Bridge
Liverpool,,Everton,,I05ckonGAA0,4/1/17,Liverpool maintain Merseyside Derby dominance over Everton
Liverpool,,Manchester City,, -lSYXFICjy0,3/19/17,Man City  Liverpool play to thrilling 1-1 draw
Manchester United,,Middlesbrough,,HYAnqREIb64,3/19/17,Manchester United hold on to beat Middlesbrough
Tottenham,,Southampton,,uUUNGKccBm4,3/19/17,Tottenham top Southampton 2-1 at White Hart Lane
Bournemouth,,Swansea City,,WRLLm8xUGv8,3/18/17,Bournemouth shut out Swansea 2-0
Everton,,Hull City,,FchHI5S2Gcs,3/18/17,Romelu Lukaku leads Everton rout of Hull City
Watford,,Crystal Palace,,-852pkbdKko,3/18/17,Troy Deeney's own goal gives Crystal Palace the win over Watford
Burnley,,Sunderland,,X1b1fSOagW4,3/18/17,Sunderland  Burnley play to scoreless draw
Arsenal,,West Brom,,rq1vuEisAm8,3/18/17,Arsenal fall to West Brom 3-1
Leicester City,,West Ham,,zzEUggLjOsQ,3/18/17,Leicester City stay hot with 3-2 win over West Ham
Chelsea,,Stoke City,,fMGUWddMCPM,3/18/17,Chelsea get past Stoke City with 2-1 victory
Liverpool,,Burnley,,Bc3WaUBORz4,3/12/17,Liverpool comeback to beat Burnley 2-1
Bournemouth,,West Ham,,GZ7YcYymbd0,3/11/17,Joshua King's hat-trick leads Bournemouth past West Ham
Hull City,,Swansea City,,hMC756JqPcg,3/11/17,Oumar Niasse's double helps Hull City beat Swansea
Everton,,West Brom,,J8Dx_nw0Vgs,3/11/17,Everton top West Brom in 3-0 blowout
Manchester City,,Stoke City,,gI4XKNSwq1I,3/9/17,Man City's missed chances lead to scoreless draw with Stoke
Manchester City,,Stoke City,,tml5ZZ-Fabc,3/8/17,Wednesday Preview: Can Man City get 200th home win vs. Stoke?
Chelsea,,West Ham,,iDFHuDTp24Y,3/7/17,Chelsea continue Premier League dominance defeating West Ham
Middlesbrough,0,Stoke City,2,LNioSO44hiI,3/5/17,Marko Arnautovic's two goals lifted Stoke City past Middlesbrough at the Bet 365 Stadium.
Sunderland,,Crystal Palace,,gkXR8No9t9o,3/5/17,Manchester City handle Sunderland 2-0
Tottenham,,Everton,,qVxnYmIitzE,3/5/17,Tottenham beat Everton 3-2 as Harry Kane dominates
Burnley,,Swansea City,,01j08KmeIyw,3/5/17,Llorente leads Swansea past Burnley
Leicester City,,Hull City,,70PWyDv93Bg,3/5/17,Leicester score three unanswered goals to top Hull
Liverpool,,Arsenal,,51woOX_Leog,3/5/17,Liverpool beat Arsenal  rise to third in PL table
